Country,Country_Code,Rate,From_Date
Austria,AT,20.00%,01/01/2015
Belgium,BE,21.00%,01/01/2015
Bulgaria,BG,20.00%,01/01/2015
Croatia,HR,25.00%,01/01/2015
Cyprus,CY,19.00%,01/01/2015
Czech Republic,CZ,21.00%,01/01/2015
Denmark,DK,25.00%,01/01/2015
Estonia,EE,20.00%,01/01/2015
Finland,FI,24.00%,01/01/2015
France,FR,20.00%,01/01/2015
Germany,DE,19.00%,01/01/2015
Greece,EL,23.00%,01/01/2015
Hungary,HU,27.00%,01/01/2015
Ireland,IE,23.00%,01/01/2015
Italy,IT,22.00%,01/01/2015
Latvia,LV,21.00%,01/01/2015
Lithuania,LT,21.00%,01/01/2015
Luxembourg,LU,15.00%,01/01/2015
Malta,MT,18.00%,01/01/2015
Netherlands,NL,21.00%,01/01/2015
Poland,PL,23.00%,01/01/2015
Portugal,PT,23.00%,01/01/2015
Romania,RO,24.00%,01/01/2015
Slovakia,SK,20.00%,01/01/2015
Slovenia,SI,22.00%,01/01/2015
Spain,ES,21.00%,01/01/2015
Sweden,SE,25.00%,01/01/2015
UK,UK,20.00%,01/01/2015
